,continent,year,high_blood_sugar,obesity,high_blood_pressure,smoking,air_pollution_outdoor_&_indoor
109,Europe,2015,0.21934715496782686,0.1634861448841513,0.3010051818484714,0.2399020961410457,0.0762594221585046
110,Europe,2016,0.22167771525763252,0.16443039162378284,0.30182369061246755,0.23794958425776694,0.07411861824835007
111,Europe,2017,0.22296519840949375,0.16484693462591402,0.3021293120396331,0.23596391717101814,0.07409463775394105
112,Oceania,1990,0.17135550342316794,0.13461997942635254,0.3269907367609295,0.30946917868566987,0.05756460170388016
113,Oceania,1991,0.17041104223435882,0.1388062454970168,0.3267293309171226,0.30528048904241384,0.05877289230908779
114,Oceania,1992,0.17002124354025366,0.14256455215669267,0.32697724378253823,0.3007578148349149,0.0596791456856005
115,Oceania,1993,0.170335279958251,0.14639921321525431,0.3269178098324773,0.2963780989265231,0.05996959806749423
116,Oceania,1994,0.17122709329765975,0.1501114980679438,0.3268573306406846,0.2916936700017239,0.06011040799198798
117,Oceania,1995,0.1725089713019521,0.15388899016490779,0.32598864166726854,0.288060815310242,0.05955258155562947
118,Oceania,1996,0.17391967187759844,0.15751526262943205,0.3238354019348885,0.2837645066989183,0.060965156859162865
119,Oceania,1997,0.1746611701791174,0.1617935800067473,0.32182556501026055,0.27982179125383644,0.0618978935500384
120,Oceania,1998,0.17573606143078718,0.16613303147434516,0.3197631318244455,0.2762521752897668,0.06211559998065527
121,Oceania,1999,0.17726809076926156,0.17006352751457382,0.31785166640119245,0.27291371120007957,0.06190300411489272
122,Oceania,2000,0.17932010465954173,0.1739248076508205,0.31579949894836634,0.2699845858218377,0.06097100291943371
123,Oceania,2001,0.1818446234984677,0.17670970193329044,0.3126109003685074,0.2677747925324076,0.061059981667326825
124,Oceania,2002,0.18480728251941705,0.17956086044198094,0.30940709667680333,0.26523893132141335,0.06098582904038552
125,Oceania,2003,0.18767939309828463,0.18256429251467335,0.3049875382806837,0.26412681961175527,0.06064195649460296
126,Oceania,2004,0.19059769200730756,0.18578075718323983,0.3005958346245436,0.26298645984004676,0.0600392563448623
127,Oceania,2005,0.19384769752851372,0.1890532167878747,0.2964200439443119,0.2613523835731572,0.05932665816614243
128,Oceania,2006,0.19809887936539974,0.1921062247723453,0.2935590651734425,0.25689200235690246,0.05934382833191006
129,Oceania,2007,0.2025044871424144,0.19490500782398668,0.29056050249993254,0.2525257823269185,0.05950422020674776
130,Oceania,2008,0.20699520558581916,0.19757035544984503,0.28792626927423565,0.2479839695591212,0.059524200130978956
131,Oceania,2009,0.2100274084631714,0.20075505195484095,0.28501750633844297,0.24482064779857518,0.05937938544496963
132,Oceania,2010,0.21165563511040517,0.20304436862268965,0.28248355381403834,0.24353815091055667,0.059278291542310305
133,Oceania,2011,0.21259796187673308,0.20427210765913847,0.2812992244245652,0.2405113525226497,0.061319353516913505
134,Oceania,2012,0.21357611589027478,0.20651677199585708,0.2813316614164621,0.2398742887938279,0.058701161903578006
135,Oceania,2013,0.21355358101237565,0.20882666051975274,0.28127768246459267,0.23951827805074047,0.056823797952538356
136,Oceania,2014,0.21423181315120762,0.2105569391541751,0.2823869158161804,0.23836146843230246,0.0544628634461343
137,Oceania,2015,0.21519059165791776,0.21173094208833163,0.28330600921098603,0.23613371209991463,0.053638744942849884
138,Oceania,2016,0.2167011775956438,0.21306789531226009,0.28561646224752457,0.23414986995699422,0.05046459488757712
139,Oceania,2017,0.21672114205171011,0.21318961598315864,0.28572854677229237,0.23373138217335535,0.05062931301948341
